state,fiscal_year,value,agency,bureau,program
Pennsylvania,2016,26578,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Rhode Island,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
South Carolina,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
South Dakota,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Tennessee,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Texas,2016,60104,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Utah,2016,8674,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Vermont,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Virginia,2016,13776,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Washington,2016,18553,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
West Virginia,2016,8354,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Wisconsin,2016,14496,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Wyoming,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Alabama,2017,15994,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Alaska,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Arizona,2017,15119,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Arkansas,2017,12814,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
California,2017,78797,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Colorado,2017,14576,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Connecticut,2017,8485,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Delaware,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
District of Columbia,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Florida,2017,30630,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Georgia,2017,18258,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Hawaii,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Idaho,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Illinois,2017,34948,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Indiana,2017,13584,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Iowa,2017,12525,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Kansas,2017,9544,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Kentucky,2017,13038,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Louisiana,2017,11481,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Maine,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Maryland,2017,14213,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Massachusetts,2017,15567,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Michigan,2017,26066,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Minnesota,2017,14985,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Mississippi,2017,8671,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Missouri,2017,16906,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Montana,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Nebraska,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Nevada,2017,11943,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New Hampshire,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New Jersey,2017,15933,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New Mexico,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New York,2017,40197,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
North Carolina,2017,19594,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
North Dakota,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Ohio,2017,23279,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Oklahoma,2017,13493,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Oregon,2017,11894,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Pennsylvania,2017,26776,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Rhode Island,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
South Carolina,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
South Dakota,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Tennessee,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Texas,2017,60552,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Utah,2017,8738,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Vermont,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Virginia,2017,13874,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Washington,2017,18691,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
West Virginia,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Wisconsin,2017,14604,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Wyoming,2017,8374,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Alabama,2018,16025,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Alaska,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Arizona,2018,15149,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Arkansas,2018,12839,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
California,2018,78944,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Colorado,2018,14604,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Connecticut,2018,8502,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Delaware,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
District of Columbia,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Florida,2018,30689,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Georgia,2018,18294,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Hawaii,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Idaho,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Illinois,2018,35015,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Indiana,2018,13611,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Iowa,2018,12550,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Kansas,2018,9563,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Kentucky,2018,13063,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Louisiana,2018,11504,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Maine,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Maryland,2018,14241,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Massachusetts,2018,15597,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Michigan,2018,26117,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Minnesota,2018,15015,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Mississippi,2018,8688,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Missouri,2018,16939,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Montana,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Nebraska,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Nevada,2018,11966,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New Hampshire,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New Jersey,2018,15964,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New Mexico,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New York,2018,40275,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
North Carolina,2018,19632,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
North Dakota,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Ohio,2018,23324,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Oklahoma,2018,13519,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Oregon,2018,11918,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Pennsylvania,2018,26828,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Rhode Island,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
South Carolina,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
South Dakota,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Tennessee,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Texas,2018,60668,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Utah,2018,8756,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Vermont,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Virginia,2018,13901,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Washington,2018,18727,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
West Virginia,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Wisconsin,2018,14633,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Wyoming,2018,8391,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Alabama,2016,15091,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Alaska,2016,8077,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Arizona,2016,11244,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Arkansas,2016,8829,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
California,2016,105878,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Colorado,2016,10795,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Connecticut,2016,16573,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Delaware,2016,6625,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
District of Columbia,2016,6625,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Florida,2016,45911,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Georgia,2016,22819,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Hawaii,2016,10368,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Idaho,2016,6625,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Illinois,2016,60943,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Indiana,2016,32525,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Iowa,2016,18266,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Kansas,2016,12182,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Kentucky,2016,17177,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Louisiana,2016,14836,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Maine,2016,10447,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Maryland,2016,32641,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Massachusetts,2016,45821,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Michigan,2016,58030,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Minnesota,2016,25029,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Mississippi,2016,12159,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Missouri,2016,37413,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Montana,2016,6625,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Nebraska,2016,6845,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Nevada,2016,6625,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New Hampshire,2016,13487,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New Jersey,2016,55150,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New Mexico,2016,8174,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New York,2016,149678,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
North Carolina,2016,24357,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
North Dakota,2016,6656,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Ohio,2016,75977,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Oklahoma,2016,11435,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Oregon,2016,15246,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Pennsylvania,2016,53736,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Rhode Island,2016,9062,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
South Carolina,2016,13826,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
South Dakota,2016,6625,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Tennessee,2016,7320,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Texas,2016,61685,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Utah,2016,7111,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Vermont,2016,6625,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Virginia,2016,27344,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Washington,2016,23470,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
West Virginia,2016,21039,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Wisconsin,2016,36486,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Wyoming,2016,6625,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Alabama,2017,15216,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Alaska,2017,8144,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Arizona,2017,9191,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Arkansas,2017,8901,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
California,2017,97320,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Colorado,2017,10885,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Connecticut,2017,16670,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Delaware,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
District of Columbia,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Florida,2017,45932,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Georgia,2017,23007,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Hawaii,2017,10539,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Idaho,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Illinois,2017,61542,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Indiana,2017,32794,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Iowa,2017,18416,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Kansas,2017,12283,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Kentucky,2017,17319,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Louisiana,2017,14959,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Maine,2017,10533,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Maryland,2017,32911,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Massachusetts,2017,46200,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Michigan,2017,58509,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Minnesota,2017,25010,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Mississippi,2017,12260,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Missouri,2017,37722,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Montana,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Nebraska,2017,6960,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Nevada,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New Hampshire,2017,13598,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New Jersey,2017,55606,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New Mexico,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New York,2017,150196,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
North Carolina,2017,24558,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
North Dakota,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Ohio,2017,76604,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Oklahoma,2017,10994,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Oregon,2017,15372,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Pennsylvania,2017,53901,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Rhode Island,2017,9137,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
South Carolina,2017,13940,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
South Dakota,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Tennessee,2017,19767,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Texas,2017,62194,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Utah,2017,7170,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Vermont,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Virginia,2017,27848,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Washington,2017,23664,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
West Virginia,2017,21212,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Wisconsin,2017,36787,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Wyoming,2017,6680,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Alabama,2018,15245,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Alaska,2018,8160,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Arizona,2018,9209,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Arkansas,2018,8919,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
California,2018,97509,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Colorado,2018,10906,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Connecticut,2018,16703,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Delaware,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
District of Columbia,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Florida,2018,46022,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Georgia,2018,23052,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Hawaii,2018,10559,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Idaho,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
